Episode Number,Total Reward,Running Average,p,i,d,joint index
263,-2.5299327284330912,-3.76827283792761,21022.41015625,9.863485956884688e-07,78.6263198852539,1
264,-2.5330011792061993,-3.7559201213403957,20860.0859375,9.863373406915343e-07,79.55091094970703,1
265,-2.5316985071257196,-3.7436779051982487,20934.982421875,9.863373406915343e-07,79.37350463867188,1
266,-2.5307247314475245,-3.7315483734607415,21109.017578125,9.863373406915343e-07,78.85186004638672,1
267,-2.5316520382409515,-3.719549410108544,21194.3671875,9.863373406915343e-07,78.76722717285156,1
268,-2.5319753866506205,-3.7076736698739645,21445.79296875,9.863373406915343e-07,78.10094451904297,1
269,-2.5321856146359583,-3.6959187893215844,21182.26171875,9.863373406915343e-07,79.2474594116211,1
270,-2.5315096522425593,-3.684274697950794,21201.076171875,9.863373406915343e-07,79.4011001586914,1
271,-2.532634259638828,-3.672758293567674,21371.802734375,9.863390459941002e-07,78.97562408447266,1
272,-2.529843012490835,-3.661329140756906,21555.24609375,9.863390459941002e-07,78.30895233154297,1
273,-2.5316219272512033,-3.6500320686218486,21556.642578125,9.863390459941002e-07,78.37223815917969,1
274,-2.5314059213034334,-3.6388458071486642,21714.4453125,9.863382501862361e-07,77.94097137451172,1
275,-2.5318886593956806,-3.6277762356711345,22025.521484375,9.863495051831705e-07,76.99371337890625,1
276,-2.5311536299456723,-3.61681000961388,21988.4765625,9.863495051831705e-07,77.04703521728516,1
277,-2.531336569501603,-3.6059552752127573,22222.947265625,9.863504146778723e-07,76.34949493408203,1
278,-2.531013849126015,-3.5952058609518898,22252.78515625,9.863504146778723e-07,76.33056640625,1
279,-2.5301486501963093,-3.5845552888443337,22462.912109375,9.863523473541136e-07,75.84207916259766,1
280,-2.532704051466176,-3.5740367764705523,22588.927734375,9.863523473541136e-07,75.74868774414062,1
281,-2.530946850380749,-3.563605877209654,22658.876953125,9.863645118457498e-07,75.61094665527344,1
